grade,gender,raceeth,preschool,expectBachelors,motherHS,motherBachelors,motherWork,fatherHS,fatherBachelors,fatherWork,selfBornUS,motherBornUS,fatherBornUS,englishAtHome,computerForSchoolwork,read30MinsADay,minutesPerWeekEnglish,studentsInEnglish,schoolHasLibrary,publicSchool,urban,schoolSize,readingScore
11,1,White,0,0,1,1,1,1,0,1,1,1,1,1,1,1,450,25,1,1,0,1173,High
10,0,Black,1,1,0,0,1,1,0,1,1,1,1,1,1,1,200,23,1,1,1,2640,Low
10,1,Hispanic,1,0,1,0,1,1,0,0,1,1,0,1,1,1,250,35,1,1,1,1095,High
10,0,White,1,1,1,0,0,1,0,1,1,1,1,1,1,1,300,30,1,1,0,1913,Low
10,1,More than one race,1,1,1,1,1,0,0,1,1,1,1,1,1,0,294,24,1,1,0,899,Low
10,0,Hispanic,1,1,1,0,1,1,0,0,0,0,0,0,0,1,232,14,1,1,0,1733,High
10,0,White,1,1,1,0,1,1,1,1,1,1,1,1,1,1,225,20,1,1,0,149,High
10,0,Hispanic,1,0,0,0,0,0,0,1,0,0,0,0,1,1,270,25,1,1,1,1400,Low
11,1,White,1,1,1,0,0,1,1,1,1,1,1,1,1,0,275,30,1,1,1,1988,Low
9,1,White,1,1,1,1,1,1,1,1,1,1,1,1,1,0,225,15,1,0,1,915,High
11,0,White,1,1,1,1,1,1,0,1,1,1,1,1,1,1,250,20,1,1,0,636,High
10,0,White,1,1,1,1,1,1,0,1,1,1,1,1,1,0,250,12,1,1,0,854,High
10,1,White,1,1,1,1,1,1,1,0,1,1,1,1,1,1,315,40,1,1,1,2999,High
10,1,White,0,1,1,0,1,1,1,1,1,1,1,1,1,0,225,30,1,1,0,2748,High
9,0,White,1,1,1,0,1,1,0,0,1,1,1,1,0,1,235,32,1,1,0,149,Low
10,0,Hispanic,1,1,1,0,1,1,0,1,1,1,1,1,1,1,600,30,1,1,0,361,Low
10,0,White,1,1,1,1,0,1,1,1,0,1,0,1,1,1,240,26,1,0,1,575,High
11,1,Black,1,1,1,0,0,1,0,0,1,1,1,1,1,0,1296,30,1,1,1,3261,High
10,1,White,0,1,1,1,1,1,0,1,1,1,1,1,1,1,300,30,1,1,0,2340,High
10,1,White,1,1,1,1,0,1,0,1,1,1,1,1,1,1,250,25,1,1,0,1913,High
10,1,White,1,1,1,1,1,1,0,1,1,1,1,1,1,0,90,20,1,1,0,2569,High
9,1,White,0,1,1,1,0,1,1,1,1,1,1,1,1,1,180,25,1,0,1,1212,High
11,0,White,0,1,1,0,1,1,0,1,1,1,1,1,1,1,250,25,1,1,0,509,High
10,1,Hispanic,1,1,1,0,1,1,0,1,1,1,1,1,1,0,315,25,1,1,0,899,Low
10,0,Black,0,1,1,1,1,1,1,1,1,1,1,1,1,0,270,25,1,1,0,1526,Low
10,0,White,1,1,1,0,1,1,1,1,1,1,1,1,1,1,225,25,1,1,0,276,High
10,0,Hispanic,1,1,1,0,0,1,0,1,1,1,1,1,0,1,225,30,1,1,0,1250,Low
10,0,White,1,1,1,1,0,1,1,1,0,1,1,1,1,0,250,30,1,1,0,2878,High
10,0,White,1,1,1,0,0,1,0,1,1,1,1,1,0,1,225,25,1,1,0,276,Low
11,1,White,1,1,1,0,1,1,1,1,1,1,1,1,1,0,290,12,1,1,0,929,High
10,1,Black,1,1,1,1,1,1,0,0,1,1,1,1,1,0,225,6,1,1,0,1897,Low
10,1,Black,1,1,1,0,1,0,0,1,1,1,1,1,1,0,200,14,1,1,1,2640,High
10,0,White,1,1,1,1,0,1,1,1,1,1,1,1,1,1,460,27,1,1,0,1087,High
11,0,White,1,1,1,1,1,1,1,1,1,1,1,1,1,1,232,25,1,1,0,2710,High
11,0,Hispanic,1,1,0,0,0,0,0,1,1,0,0,1,1,0,70,25,1,1,0,1101,Low
10,1,White,0,0,1,0,1,0,0,1,1,1,1,1,0,1,275,25,1,1,0,2000,High
10,1,White,1,0,1,0,1,1,0,0,1,1,1,1,1,0,225,25,1,1,1,1046,High
10,1,White,1,1,1,0,1,1,0,1,1,1,1,1,0,0,270,22,1,1,0,196,High
10,0,White,0,1,1,0,0,1,0,1,1,1,1,1,1,1,225,25,1,1,0,1375,Low
9,0,More than one race,1,1,1,0,0,1,0,0,1,1,1,1,0,0,40,13,1,1,0,1380,Low
10,0,Black,1,1,1,0,1,1,0,1,1,0,1,1,1,1,205,25,1,1,1,673,Low
11,0,White,1,1,1,0,0,1,0,1,1,1,1,1,1,0,300,40,0,1,1,3138,High
10,1,White,1,1,1,1,1,1,1,1,1,1,1,1,1,0,225,18,1,0,1,1212,Low
11,1,Hispanic,1,1,1,0,1,1,0,1,0,0,0,0,1,0,50,20,1,1,1,1723,Low
10,0,White,1,1,1,1,1,1,1,1,1,1,1,1,1,0,200,20,1,1,0,1680,High
10,1,White,1,1,1,1,1,1,1,1,1,1,1,1,1,0,240,17,1,0,1,575,High
11,0,Hispanic,0,1,1,1,0,1,0,1,0,0,0,1,1,0,50,20,1,1,0,868,High
10,0,Hispanic,0,1,0,0,1,0,0,1,1,0,0,0,0,1,450,16,1,1,0,3004,High
10,1,Black,1,1,1,0,1,1,0,0,1,0,0,1,1,0,300,30,1,1,1,3261,High
10,0,Black,1,1,1,1,1,1,0,0,1,1,1,1,1,0,300,25,1,1,1,1276,Low
11,0,Hispanic,1,0,1,0,1,0,0,1,0,0,0,0,1,0,270,25,1,1,0,1489,Low
9,1,Hispanic,0,1,1,0,0,1,0,1,1,1,1,1,1,0,270,30,1,1,0,1900,Low
10,0,White,0,0,1,0,0,1,1,1,1,0,1,1,1,1,600,20,1,1,1,1720,High
10,0,White,1,1,1,1,1,1,1,1,1,1,1,1,1,1,190,25,1,1,0,1087,High
9,1,American Indian/Alaska Native,0,0,1,1,1,0,0,0,1,1,1,1,1,0,225,25,1,1,1,1062,Low
11,0,White,1,1,1,0,0,1,0,0,1,1,1,1,1,0,290,33,1,1,0,754,High
10,1,Hispanic,0,1,0,0,1,0,0,0,1,0,1,1,1,0,360,30,1,1,1,2886,High
10,0,Black,1,1,1,0,1,1,0,1,1,1,1,1,1,0,0,20,1,1,0,820,Low
11,0,White,1,1,1,0,1,1,1,1,1,1,1,1,1,0,270,20,1,1,0,979,High
10,1,White,1,0,1,0,0,1,1,1,1,1,1,1,1,1,344,15,1,1,0,247,Low
11,1,Asian,0,1,1,1,1,1,1,1,0,0,0,0,1,1,285,29,1,1,0,2000,High
11,1,White,0,0,0,0,1,1,0,1,1,0,1,1,0,0,180,20,1,1,0,808,Low
10,1,White,1,1,1,0,1,1,1,0,1,1,1,1,1,1,205,30,1,1,0,1828,Low
10,1,Asian,1,1,1,0,1,1,1,1,1,0,0,0,1,0,225,20,1,1,0,2098,High
11,0,White,1,1,1,0,1,1,0,0,1,1,1,1,1,0,200,36,1,1,0,1733,High
11,0,Asian,0,1,1,0,0,1,1,1,0,0,0,1,1,1,550,25,1,1,0,2000,High
10,1,Hispanic,0,0,1,0,0,0,0,1,1,1,1,1,1,0,420,28,0,1,1,626,Low
11,1,White,0,1,1,0,1,1,0,1,1,1,1,1,1,0,160,23,1,0,1,1212,High
10,0,White,1,1,1,1,1,1,1,1,1,1,1,1,1,0,225,20,1,1,0,2098,High
10,0,White,1,1,1,0,1,1,1,1,1,1,1,1,1,1,225,25,1,1,0,854,Low
11,1,Hispanic,1,1,1,0,1,1,0,1,1,0,1,1,1,1,360,36,1,1,1,2942,High
11,1,Native Hawaiian/Other Pacific Islander,1,1,1,1,1,1,1,1,1,0,0,1,1,0,180,25,1,0,1,570,High
10,0,Asian,1,1,0,0,1,0,0,1,0,0,0,0,1,0,225,25,1,1,1,3000,Low
10,0,White,1,1,1,0,1,1,0,1,1,1,1,1,1,1,260,17,1,1,0,636,High
11,0,Hispanic,0,1,1,0,0,1,0,1,1,0,0,1,1,1,275,26,1,1,1,2144,High
10,0,White,1,1,1,1,1,1,1,1,1,1,1,1,1,0,250,15,1,0,1,915,High
10,1,White,1,1,1,1,1,1,1,1,1,1,1,1,1,0,250,25,1,1,0,3004,Low
11,0,Hispanic,1,1,1,1,1,0,0,1,1,0,0,0,1,1,354,40,1,1,1,3592,Low
10,1,White,1,1,1,1,1,1,1,1,1,1,1,1,1,0,275,25,1,1,0,2878,High
11,0,White,1,0,1,0,1,1,0,1,1,1,1,1,1,0,300,20,1,1,1,1988,Low
10,1,White,1,1,1,1,0,1,1,1,1,1,1,1,1,0,450,10,1,1,0,1173,High
11,1,White,0,1,1,1,0,1,1,0,1,1,1,1,1,0,270,24,1,1,0,389,High
11,0,Native Hawaiian/Other Pacific Islander,0,1,1,1,1,1,1,1,1,0,0,1,1,0,255,24,1,0,1,570,Low
11,0,White,1,1,1,1,1,1,1,0,1,1,0,1,1,0,250,14,1,0,1,915,High
10,1,Hispanic,1,1,0,0,0,0,0,1,0,0,0,0,0,0,84,23,1,1,1,3201,Low
10,1,White,1,1,1,1,1,1,1,1,1,1,1,1,1,0,300,25,1,1,0,898,High
10,1,White,0,1,1,1,1,1,1,1,1,1,1,1,1,0,300,20,1,1,0,2183,High
10,1,White,1,1,1,0,1,1,1,0,1,1,1,1,0,1,225,30,1,1,0,1233,Low
11,0,Hispanic,0,1,1,0,1,1,0,1,1,1,1,1,1,0,264,30,1,1,0,2402,High
10,1,White,1,1,1,1,1,1,1,1,1,1,1,1,1,1,55,31,1,1,0,2340,High
10,0,White,1,1,1,0,1,1,1,1,1,1,1,1,1,0,258,25,1,1,0,1812,High
10,1,White,1,1,1,1,1,1,1,1,1,1,0,1,1,0,375,20,1,1,0,1295,High
10,0,White,0,1,1,0,1,1,0,1,1,1,1,1,1,1,275,30,1,1,1,2144,High
10,0,White,1,1,1,1,1,1,1,1,1,1,1,1,1,1,300,30,1,1,0,898,High
10,0,Hispanic,1,1,1,0,1,0,0,1,1,1,1,1,1,0,250,30,1,1,1,539,High
10,1,White,1,1,1,1,0,1,1,0,1,1,1,1,1,1,250,20,1,1,0,1375,High
10,1,White,0,1,1,1,0,1,0,1,1,1,1,1,1,0,420,30,1,1,0,899,Low
10,1,White,1,1,1,1,1,1,1,1,1,1,1,1,1,0,285,30,1,1,1,2966,High
10,0,White,1,1,1,1,1,1,1,1,1,1,0,1,1,1,140,15,1,1,1,1900,High
9,0,White,1,0,1,1,1,0,0,0,1,1,1,1,1,1,300,9,1,1,0,421,Low
